idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
person_wearing_turban_medium-light_skin_tone,,,,,,,person_wearing_turban_medium-light_skin_tone,1,👳🏼,person wearing turban: medium-light skin tone,People & Body,person-role
palms_up_together_medium_skin_tone,0.1532374242281046,0.766187121140523,0.1532374242281046,0.1532374242281046,0.6129496969124184,0.0,palms_up_together_medium_skin_tone,69,🤲🏽,palms up together: medium skin tone,People & Body,hands
placard,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,placard,3,🪧,placard,Objects,other-object
person_dark_skin_tone,,,,,,,person_dark_skin_tone,1,🧑🏿,person: dark skin tone,People & Body,person
woman_facepalming_medium-dark_skin_tone,,,,,,,woman_facepalming_medium-dark_skin_tone,1250,🤦🏾‍♀️,woman facepalming: medium-dark skin tone,People & Body,person-gesture
shushing_face,0.048853594268708195,1.1969130595833506,0.07328039140306228,0.26869476847789503,0.26869476847789503,1.0014986825085177,shushing_face,721,🤫,shushing face,Smileys & Emotion,face-hand
brain,0.26320289538406805,0.43529709621211254,0.6917511994068455,0.4859130376321257,0.07086231798801833,0.3914299469814346,brain,218,🧠,brain,People & Body,body-parts
woman_police_officer_medium-light_skin_tone,,,,,,,woman_police_officer_medium-light_skin_tone,8,👮🏼‍♀️,woman police officer: medium-light skin tone,People & Body,person-role
paintbrush,0.0,1.0394799262779186,0.2969942646508339,0.0,0.2969942646508339,0.0,paintbrush,43,🖌️,paintbrush,Objects,writing
snowboarder,,,,,,,snowboarder,15,🏂,snowboarder,People & Body,person-sport
Turkey,,,,,,,Turkey,576,🇹🇷,flag: Turkey,Flags,country-flag
person_pouting_medium_skin_tone,,,,,,,person_pouting_medium_skin_tone,2,🙎🏽,person pouting: medium skin tone,People & Body,person-gesture
woman_getting_massage,,,,,,,woman_getting_massage,44,💆‍♀️,woman getting massage,People & Body,person-activity
headstone,0.0,0.3180808364797749,0.6361616729595498,0.0,0.0,0.0,headstone,9,🪦,headstone,Objects,other-object
man_health_worker_medium-dark_skin_tone,,,,,,,man_health_worker_medium-dark_skin_tone,2,👨🏾‍⚕️,man health worker: medium-dark skin tone,People & Body,person-role
globe_showing_Europe-Africa,,,,,,,globe_showing_Europe-Africa,1398,🌍,globe showing Europe-Africa,Travel & Places,place-map
person_cartwheeling,0.0,1.6492580214356127,0.0,0.0,0.0,0.18325089127062366,person_cartwheeling,68,🤸,person cartwheeling,People & Body,person-sport
Japanese_acceptable_button,,,,,,,Japanese_acceptable_button,1,🉑,Japanese “acceptable” button,Symbols,alphanum
candle,0.020890098500044627,2.193460342504686,0.31335147750066944,0.22979108350049093,0.1462306895003124,0.10445049250022315,candle,1019,🕯️,candle,Objects,light & video
victory_hand_medium-dark_skin_tone,,,,,,,victory_hand_medium-dark_skin_tone,322,✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial
man_shrugging,,,,,,,man_shrugging,2002,🤷‍♂️,man shrugging,People & Body,person-gesture
women_holding_hands_medium-dark_skin_tone,,,,,,,women_holding_hands_medium-dark_skin_tone,1,👭🏾,women holding hands: medium-dark skin tone,People & Body,family
tropical_drink,0.0,1.8569861985089706,0.24759815980119607,0.061899539950299017,0.18569861985089706,0.0,tropical_drink,225,🍹,tropical drink,Food & Drink,drink
fuel_pump,0.0,1.393270074292932,0.0,0.0,0.0,0.696635037146466,fuel_pump,123,⛽,fuel pump,Travel & Places,transport-ground
antenna_bars,0.0,2.058186960419284,0.0,0.07622914668219571,0.22868744004658714,0.07622914668219571,antenna_bars,275,📶,antenna bars,Symbols,av-symbol
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,flatbread,1,🫓,flatbread,Food & Drink,food-prepared
face_with_medical_mask,0.3090880028023128,0.7418112067255507,0.3606026699360316,0.7212053398720631,0.17514986825464393,1.1024138766615823,face_with_medical_mask,2572,😷,face with medical mask,Smileys & Emotion,face-unwell
chair,0.05789038378153484,0.4399669167396648,0.12156980594122316,0.15630403621014408,0.034734230268920904,0.09262461405045574,chair,8,🪑,chair,Objects,household
woman_in_lotus_position_medium-dark_skin_tone,,,,,,,woman_in_lotus_position_medium-dark_skin_tone,3,🧘🏾‍♀️,woman in lotus position: medium-dark skin tone,People & Body,person-resting
chains,0.7554718343098886,0.3830561413402252,0.2660112092640453,0.29793255437573074,0.04256179348224724,0.22344941578179806,chains,93,⛓️,chains,Objects,tool
woman_frowning_medium_skin_tone,0.0,0.28169934667141894,0.0,0.28169934667141894,0.28169934667141894,0.0,woman_frowning_medium_skin_tone,7,🙍🏽‍♀️,woman frowning: medium skin tone,People & Body,person-gesture
woman_swimming_light_skin_tone,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,woman_swimming_light_skin_tone,5,🏊🏻‍♀️,woman swimming: light skin tone,People & Body,person-sport
red_exclamation_mark,,,,,,,red_exclamation_mark,2380,❗,red exclamation mark,Symbols,punctuation
woman_singer_medium-dark_skin_tone,,,,,,,woman_singer_medium-dark_skin_tone,3,👩🏾‍🎤,woman singer: medium-dark skin tone,People & Body,person-role
woman_cartwheeling_medium_skin_tone,,,,,,,woman_cartwheeling_medium_skin_tone,26,🤸🏽‍♀️,woman cartwheeling: medium skin tone,People & Body,person-sport
sun_behind_small_cloud,0.0,1.5797835966168101,0.0,0.0,0.0,0.0,sun_behind_small_cloud,38,🌤️,sun behind small cloud,Travel & Places,sky & weather
crossed_fingers_light_skin_tone,0.0641612188087197,2.5022875335400685,0.2780319481711187,0.14970951055367931,0.1710965834899192,0.0213870729362399,crossed_fingers_light_skin_tone,1537,🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial
man_supervillain_light_skin_tone,,,,,,,man_supervillain_light_skin_tone,5,🦹🏻‍♂️,man supervillain: light skin tone,People & Body,person-fantasy
coat,0.02464071961484813,0.8377844669048364,0.16262874945799766,0.16262874945799766,0.06406587099860514,0.04928143922969626,coat,20,🧥,coat,Objects,clothing
dashing_away,0.08402143795243772,1.4283644451914412,0.08402143795243772,0.5041286277146263,0.16804287590487543,0.588150065667064,dashing_away,719,💨,dashing away,Smileys & Emotion,emotion
chocolate_bar,0.025851987018208997,2.3783828056752276,0.10340794807283599,0.180963909127463,0.180963909127463,0.025851987018208997,chocolate_bar,786,🍫,chocolate bar,Food & Drink,food-sweet
bear,0.19028706945340537,1.7064453325176354,0.2455317025205231,0.3437443835287323,0.22097853226847078,0.14731902151231382,bear,715,🐻,bear,Animals & Nature,animal-mammal
person_wearing_turban,0.0,0.7781512503836436,0.0,0.0,0.0,0.0,person_wearing_turban,6,👳,person wearing turban,People & Body,person-role
British_Virgin_Islands,,,,,,,British_Virgin_Islands,1,🇻🇬,flag: British Virgin Islands,Flags,country-flag
India,,,,,,,India,503,🇮🇳,flag: India,Flags,country-flag
Lebanon,,,,,,,Lebanon,21,🇱🇧,flag: Lebanon,Flags,country-flag
face_with_tears_of_joy,0.2767678766537117,2.59552836653107,0.3579635301713027,0.8322554485553079,0.20455058866931583,0.7393488834726798,face_with_tears_of_joy,101488,😂,face with tears of joy,Smileys & Emotion,face-smiling
Moldova,,,,,,,Moldova,2,🇲🇩,flag: Moldova,Flags,country-flag
roll_of_paper,,,,,,,roll_of_paper,22,🧻,roll of paper,Objects,household
bug,0.27766150427543246,1.024475205430044,0.3829813852074931,0.5744720778112395,0.23936336575468314,0.31595964279618177,bug,653,🐛,bug,Animals & Nature,animal-bug
keycap_6,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,keycap_6,17,6️⃣,keycap: 6,Symbols,keycap
mirror,0.01849548702172766,0.13201951081026295,0.03699097404345532,0.052935359407013646,0.020408813265354656,0.04017985111616698,mirror,2,🪞,mirror,Objects,household
man_farmer_medium-light_skin_tone,,,,,,,man_farmer_medium-light_skin_tone,3,👨🏼‍🌾,man farmer: medium-light skin tone,People & Body,person-role
sunflower,0.06125055206367415,2.4806473585788034,0.06125055206367415,0.10718846611142976,0.06125055206367415,0.0,sunflower,591,🌻,sunflower,Animals & Nature,plant-flower
snowman_without_snow,0.06272418456273761,2.289432736539923,0.031362092281368804,0.031362092281368804,0.12544836912547522,0.0,snowman_without_snow,347,⛄,snowman without snow,Travel & Places,sky & weather
game_die,0.284595029349656,0.284595029349656,0.0,0.284595029349656,0.284595029349656,0.569190058699312,game_die,51,🎲,game die,Activities,game
Belarus,,,,,,,Belarus,1,🇧🇾,flag: Belarus,Flags,country-flag
black_medium_square,,,,,,,black_medium_square,16,◼️,black medium square,Symbols,geometric
woman_shrugging_light_skin_tone,0.26304909459938425,1.1605107114678717,0.44873080843424373,0.41778385612843383,0.41778385612843383,0.6498859984220081,woman_shrugging_light_skin_tone,2279,🤷🏻‍♀️,woman shrugging: light skin tone,People & Body,person-gesture
up-down_arrow,,,,,,,up-down_arrow,10,↕️,up-down arrow,Symbols,arrow
