idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
woman_gesturing_NO_light_skin_tone,0.12723233459190997,0.15904041823988746,0.12723233459190997,0.38169700377572996,0.06361616729595498,0.09542425094393249,woman_gesturing_NO_light_skin_tone,9,🙅🏻‍♀️,woman gesturing NO: light skin tone,People & Body,person-gesture
love_hotel,0.0,0.0,0.1505149978319906,0.0,0.3762874945799765,0.0752574989159953,love_hotel,4,🏩,love hotel,Travel & Places,place-building
passenger_ship,0.1945378125959109,0.29180671889386633,0.0,0.09726890629795545,0.09726890629795545,0.09726890629795545,passenger_ship,6,🛳️,passenger ship,Travel & Places,transport-water
down-left_arrow,,,,,,,down-left_arrow,2,↙️,down-left arrow,Symbols,arrow
person_golfing,0.0,0.4013733275519749,0.20068666377598746,0.0,0.0,0.0,person_golfing,4,🏌️,person golfing,People & Body,person-sport
black_square_button,0.0,0.0,0.0,0.0,0.0,0.0,black_square_button,1,🔲,black square button,Symbols,geometric
curling_stone,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,curling_stone,2,🥌,curling stone,Activities,sport
woman_raising_hand,0.21551144352886392,0.851783324423605,0.1641991950696106,0.3078734907555199,0.2565612422962666,0.12314939630220796,woman_raising_hand,83,🙋‍♀️,woman raising hand,People & Body,person-gesture
bowl_with_spoon,0.0,0.2779111608513013,0.05558223217026026,0.0,0.11116446434052052,0.33349339302156156,bowl_with_spoon,6,🥣,bowl with spoon,Food & Drink,food-prepared
person_walking,0.08450980400142569,0.16901960800285137,0.08450980400142569,0.25352941200427703,0.16901960800285137,0.08450980400142569,person_walking,7,🚶,person walking,People & Body,person-activity
woman_health_worker_light_skin_tone,0.06689555459199582,0.20068666377598746,0.20068666377598746,0.0,0.06689555459199582,0.06689555459199582,woman_health_worker_light_skin_tone,4,👩🏻‍⚕️,woman health worker: light skin tone,People & Body,person-role
person_walking_light_skin_tone,0.17474250108400471,0.0,0.17474250108400471,0.0,0.34948500216800943,0.0,person_walking_light_skin_tone,5,🚶🏻,person walking: light skin tone,People & Body,person-activity
man_cartwheeling_medium-light_skin_tone,,,,,,,man_cartwheeling_medium-light_skin_tone,3,🤸🏼‍♂️,man cartwheeling: medium-light skin tone,People & Body,person-sport
grinning_face_with_big_eyes,0.5763404567969593,1.0880273367096442,0.24383634710640587,0.4451860579745743,0.3417403349597355,0.2327528767833874,grinning_face_with_big_eyes,847,😃,grinning face with big eyes,Smileys & Emotion,face-smiling
file_cabinet,0.23856062735983122,0.0,0.0,0.0,0.0,0.23856062735983122,file_cabinet,3,🗄️,file cabinet,Objects,office
Greece,1.0791812460476249,0.0,0.0,0.0,0.0,0.0,Greece,12,🇬🇷,flag: Greece,Flags,country-flag
