emoticon,cnt
_woman_raising_hand_,6853
_drooling_face_,6764
_expressionless_face_,6709
_yellow_heart_,6480
_clapping_hands_light_skin_tone_,6255
_grinning_squinting_face_,6159
_grimacing_face_,6083
_neutral_face_,6059
_relieved_face_,5958
_confused_face_,5678
_Christmas_tree_,5592
_folded_hands_medium_skin_tone_,5580
_flexed_biceps_,5489
_speaking_head_,5443
_smiling_face_with_horns_,5289
_thumbs_up_light_skin_tone_,5184
_see-no-evil_monkey_,4948
_skull_,4892
_growing_heart_,4860
_clapping_hands_medium-light_skin_tone_,4796
_face_with_raised_eyebrow_,4597
_folded_hands_medium-dark_skin_tone_,4564
_winking_face_with_tongue_,4521
_microphone_,4420
_green_heart_,4361
_exploding_head_,4125
_pile_of_poo_,3995
_sad_but_relieved_face_,3990
_star_,3970
_baseball_,3904
_crown_,3861
_black_heart_,3755
_middle_finger_,3755
_partying_face_,3731
_clapping_hands_medium_skin_tone_,3662
_sleepy_face_,3629
_face_with_monocle_,3541
_slightly_frowning_face_,3517
_worried_face_,3517
_wrapped_gift_,3393
_clapping_hands_medium-dark_skin_tone_,3379
_United_States_,3347
_soft_ice_cream_,3287
_woozy_face_,3198
_thumbs_up_medium-light_skin_tone_,3179
_persevering_face_,3179
_clown_face_,3171
_sneezing_face_,2996
_collision_,2980
_face_with_hand_over_mouth_,2979
_revolving_hearts_,2857
_raising_hands_medium-light_skin_tone_,2830
_smiling_face_with_halo_,2815
_shamrock_,2738
_raising_hands_light_skin_tone_,2736
_smiling_face_with_tear_,2735
_high_voltage_,2733
_oncoming_fist_,2721
_hot_dog_,2645
_beating_heart_,2620
_face_with_medical_mask_,2572
_money_bag_,2569
_zany_face_,2558
_victory_hand_,2539
_downcast_face_with_sweat_,2468
_glowing_star_,2464
_OK_hand_light_skin_tone_,2405
_squinting_face_with_tongue_,2388
_red_exclamation_mark_,2380
_octopus_,2344
_raising_hands_medium-dark_skin_tone_,2303
_right_arrow_,2296
_popcorn_,2295
_mobile_phone_,2289
_woman_shrugging_light_skin_tone_,2279
_confounded_face_,2273
_raising_hands_medium_skin_tone_,2203
_ghost_,2180
_backhand_index_pointing_left_,2174
_check_mark_button_,2169
_man_facepalming_,2117
_trade_mark_,2106
_poultry_leg_,2087
_man_facepalming_medium-dark_skin_tone_,2037
_rainbow_,2029
_thumbs_down_light_skin_tone_,2028
_magnifying_glass_tilted_right_,2024
_eye_,2010
_man_shrugging_,2002
_cup_with_straw_,1998
_kiss_mark_,1949
_woman_shrugging_,1925
_check_mark_,1922
_woman_facepalming_light_skin_tone_,1910
_OK_hand_medium-light_skin_tone_,1874
_Santa_Claus_,1845
_https_,1827
_man_facepalming_medium_skin_tone_,1805
_rocket_,1805
_astonished_face_,1791
_orange_heart_,1783
_down_arrow_,1769
_four_leaf_clover_,1759
_smiling_cat_with_heart-eyes_,1729
_face_with_open_mouth_,1703
_woman_facepalming_medium_skin_tone_,1701
_person_raising_hand_,1676
_raised_hand_,1664
_woman_shrugging_medium-light_skin_tone_,1651
_hot_face_,1649
_sleeping_face_,1648
_trophy_,1639
_middle_finger_light_skin_tone_,1637
_anxious_face_with_sweat_,1629
_dog_face_,1618
_writing_hand_,1586
_thumbs_down_medium-light_skin_tone_,1580
_jack-o-lantern_,1564
_woman_shrugging_medium_skin_tone_,1558
_nerd_face_,1553
_crossed_fingers_light_skin_tone_,1537
_television_,1537
_pizza_,1532
_thumbs_up_medium_skin_tone_,1532
_rose_,1531
_woman_facepalming_,1524
_pig_face_,1519
_middle_finger_medium-light_skin_tone_,1509
_man_facepalming_light_skin_tone_,1496
_man_shrugging_light_skin_tone_,1473
_white_heart_,1462
_globe_showing_Europe-Africa_,1398
_prohibited_,1366
_honeybee_,1348
_heart_with_arrow_,1335
_magnifying_glass_tilted_left_,1334
_face_with_tongue_,1332
_automobile_,1332
_crossed_fingers_medium-light_skin_tone_,1331
_birthday_cake_,1320
_movie_camera_,1307
_american_football_,1285
_heart_exclamation_,1284
_man_shrugging_medium-dark_skin_tone_,1268
_package_,1267
_chicken_,1263
_memo_,1257
_woman_facepalming_medium-dark_skin_tone_,1250
_man_shrugging_medium_skin_tone_,1237
_cookie_,1235
_middle_finger_medium_skin_tone_,1219
_money-mouth_face_,1211
_OK_hand_medium_skin_tone_,1208
_angry_face_with_horns_,1197
_snowflake_,1195
_confetti_ball_,1187
_wine_glass_,1177
_sun_with_face_,1150
_bacon_,1146
_kissing_face_with_closed_eyes_,1143
_airplane_,1127
_United_Kingdom_,1122
_litter_in_bin_sign_,1120
_OK_hand_medium-dark_skin_tone_,1118
_dizzy_,1115
_woman_facepalming_medium-light_skin_tone_,1094
_raised_fist_,1086
