emoticon,cnt
_white_exclamation_mark_,17
_women_holding_hands_,17
_keycap_3_,17
_litter_in_bin_sign_,17
_Brazil_,17
_pinched_fingers_light_skin_tone_,17
_banana_,17
_cooking_,17
_family_man_woman_girl_boy_,17
_baby_,17
_flashlight_,17
_tornado_,17
_love-you_gesture_medium-light_skin_tone_,17
_dress_,17
_shortcake_,17
_woman_getting_massage_light_skin_tone_,17
_check_box_with_check_,16
_hot_pepper_,16
_cheese_wedge_,16
_writing_hand_medium-light_skin_tone_,16
_Santa_Claus_,16
_sailboat_,16
_person_swimming_,16
_keycap_2_,16
_vulcan_salute_,16
_woman_facepalming_medium-dark_skin_tone_,16
_folded_hands_medium-dark_skin_tone_,16
_person_bowing_,16
_flexed_biceps_medium_skin_tone_,16
_cat_with_wry_smile_,16
_owl_,15
_honey_pot_,15
_multiply_,15
_locomotive_,15
_man_cook_medium-light_skin_tone_,15
_middle_finger_light_skin_tone_,15
_zzz_,15
_wastebasket_,15
_sign_of_the_horns_medium-light_skin_tone_,15
_person_gesturing_OK_medium-light_skin_tone_,15
_pear_,15
_princess_light_skin_tone_,15
_pen_,15
_boy_,15
_white_large_square_,15
_chestnut_,15
_alembic_,15
_saxophone_,14
_racing_car_,14
_briefcase_,14
_up_arrow_,14
_panda_,14
_tropical_fish_,14
_meat_on_bone_,14
_sunglasses_,14
_taxi_,14
_newspaper_,14
_bear_,14
_pouting_cat_,14
_person_tipping_hand_light_skin_tone_,14
_chicken_,14
_person_facepalming_light_skin_tone_,14
_man_,14
_call_me_hand_medium-light_skin_tone_,14
_index_pointing_up_light_skin_tone_,14
_otter_,14
_closed_umbrella_,14
_people_with_bunny_ears_,14
_fork_and_knife_,14
_cloud_with_snow_,13
_umbrella_with_rain_drops_,13
_trumpet_,13
_open_hands_,13
_world_map_,13
_rabbit_face_,13
_radioactive_,13
_potato_,13
_bat_,13
_grinning_cat_with_smiling_eyes_,13
_old_woman_light_skin_tone_,13
_necktie_,13
_man_walking_,13
_woman_medium-light_skin_tone_,13
_spider_,13
_new_moon_,13
_selfie_light_skin_tone_,13
_infinity_,13
_victory_hand_medium-dark_skin_tone_,13
_couch_and_lamp_,13
_graduation_cap_,13
_croissant_,12
_monkey_,12
_rooster_,12
_ship_,12
_full_moon_,12
_electric_plug_,12
_last_quarter_moon_face_,12
_man_detective_,12
_South_Korea_,12
_woman_gesturing_NO_,12
_bank_,12
_Greece_,12
_left_arrow_,12
_ewe_,12
_person_cartwheeling_,12
_woman_fairy_medium-light_skin_tone_,12
_backhand_index_pointing_down_dark_skin_tone_,12
_backhand_index_pointing_up_light_skin_tone_,12
_woman_walking_light_skin_tone_,12
_kiwi_fruit_,12
_flying_saucer_,12
_fountain_pen_,12
_wrench_,12
_woman_detective_light_skin_tone_,11
_Germany_,11
_muted_speaker_,11
_thumbs_down_medium-dark_skin_tone_,11
_VS_button_,11
_white_question_mark_,11
_mushroom_,11
_airplane_departure_,11
_joystick_,11
_mantelpiece_clock_,11
_cityscape_,11
_blue_circle_,11
_military_medal_,11
_bellhop_bell_,11
_backpack_,11
_thought_balloon_,11
_small_blue_diamond_,11
_cactus_,11
_hand_with_fingers_splayed_medium-light_skin_tone_,11
_selfie_medium-light_skin_tone_,11
_red_triangle_pointed_down_,11
_closed_book_,11
_family_,11
_grinning_cat_,11
_green_salad_,11
_oncoming_fist_medium_skin_tone_,11
_hollow_red_circle_,11
_construction_,11
_oncoming_police_car_,11
_national_park_,11
_shield_,11
_dragon_,11
_man_gesturing_OK_light_skin_tone_,10
_woman_cartwheeling_,10
_purse_,10
_middle_finger_dark_skin_tone_,10
_princess_medium-light_skin_tone_,10
_backhand_index_pointing_left_dark_skin_tone_,10
_backhand_index_pointing_down_medium-dark_skin_tone_,10
_trident_emblem_,10
_baby_bottle_,10
_woman_student_,10
_framed_picture_,10
_girl_light_skin_tone_,10
_violin_,10
_volcano_,10
_woman_raising_hand_medium_skin_tone_,10
_man_biking_,10
_lobster_,10
_white_flag_,10
_raised_fist_light_skin_tone_,10
_female_sign_,10
_man_fairy_,10
_fast_reverse_button_,10
_man_bowing_,10
_high-speed_train_,10
_black_small_square_,10
_rosette_,10
_bust_in_silhouette_,10
_black_large_square_,10
_key_,10
_test_tube_,10
_spaghetti_,10
_hole_,10
_detective_,10
_call_me_hand_medium_skin_tone_,10
_cloud_with_lightning_and_rain_,10
_man_raising_hand_medium_skin_tone_,9
_heart_on_fire_,9
_watch_,9
_man_cook_,9
_school_,9
_person_taking_bath_,9
_night_with_stars_,9
_firecracker_,9
_woman_gesturing_NO_light_skin_tone_,9
_sparkler_,9
_United_Kingdom_,9
_woman_running_light_skin_tone_,9
_woman_superhero_light_skin_tone_,9
_index_pointing_up_medium-light_skin_tone_,9
_man_dancing_medium-light_skin_tone_,9
_person_biking_,9
_cocktail_glass_,9
_goat_,9
_Statue_of_Liberty_,9
_nail_polish_medium-light_skin_tone_,9
_pool_8_ball_,9
_handbag_,9
_tropical_drink_,9
_baby_light_skin_tone_,9
_pregnant_woman_,9
_bicycle_,9
_tiger_face_,9
_old_woman_,9
_ear_of_corn_,9
_backhand_index_pointing_up_dark_skin_tone_,9
_man_walking_light_skin_tone_,9
_desert_,9
_factory_,9
_sunrise_over_mountains_,9
_backhand_index_pointing_up_medium-dark_skin_tone_,9
_place_of_worship_,9
_pirate_flag_,9
_drum_,9
_teacup_without_handle_,9
_person_getting_massage_,8
_woman_technologist_light_skin_tone_,8
_woman_swimming_light_skin_tone_,8
_scorpion_,8
_office_building_,8
_middle_finger_medium-light_skin_tone_,8
_person_fencing_,8
_man_shrugging_medium_skin_tone_,8
_scissors_,8
_white_flower_,8
_pine_decoration_,8
_pig_face_,8
_vulcan_salute_medium-light_skin_tone_,8
_monkey_face_,8
_sun_behind_small_cloud_,8
_waving_hand_medium_skin_tone_,8
_old_key_,8
_woman_light_skin_tone_red_hair_,8
_mouse_face_,8
_woman_biking_,8
_two-thirty_,8
_woman_detective_,8
_potable_water_,8
_vertical_traffic_light_,8
_person_shrugging_light_skin_tone_,8
_man_technologist_light_skin_tone_,8
_disguised_face_,8
_admission_tickets_,8
_OK_hand_medium-dark_skin_tone_,8
_hot_dog_,8
_chart_increasing_,8
_backhand_index_pointing_right_dark_skin_tone_,8
_locked_with_key_,8
_bridge_at_night_,8
_anchor_,8
_ear_,8
_fast-forward_button_,8
_locked_,8
_fairy_,8
_gear_,8
_boy_dark_skin_tone_,8
_man_vampire_,7
_Lebanon_,7
_bug_,7
_tear-off_calendar_,7
_raised_back_of_hand_medium-light_skin_tone_,7
_woman_scientist_,7
_dna_,7
_leopard_,7
_black_medium_square_,7
_woman_astronaut_light_skin_tone_,7
_black_flag_,7
_telescope_,7
_woman_scientist_medium-light_skin_tone_,7
_bikini_,7
_police_car_,7
_mount_fuji_,7
_soap_,7
_woman_gesturing_NO_medium-light_skin_tone_,7
_radio_,7
_tanabata_tree_,7
_elephant_,7
_family_woman_girl_,7
_melon_,7
_woman_light_skin_tone_blond_hair_,7
_large_orange_diamond_,7
_men_with_bunny_ears_,7
_egg_,7
_victory_hand_dark_skin_tone_,7
_person_with_veil_light_skin_tone_,7
_woman_mage_,7
_spider_web_,7
_woman_office_worker_,7
_bar_chart_,7
_person_walking_,7
_woman_cartwheeling_medium-light_skin_tone_,7
_rabbit_,7
_dragon_face_,7
_fire_engine_,7
_ledger_,7
_antenna_bars_,7
_Spain_,7
_backhand_index_pointing_left_medium_skin_tone_,7
_heavy_dollar_sign_,7
_woman_walking_,7
_person_frowning_,7
_flag_in_hole_,7
_baby_medium-light_skin_tone_,7
_atom_symbol_,7
_old_man_,7
_man_gesturing_NO_,7
_waning_crescent_moon_,7
_skier_,7
_goal_net_,7
_palms_up_together_medium-light_skin_tone_,7
_globe_with_meridians_,7
_game_die_,7
_video_camera_,7
_horse_racing_,7
_woman_getting_massage_medium-light_skin_tone_,7
_baguette_bread_,7
_wheelchair_symbol_,7
_child_light_skin_tone_,7
_snowboarder_,7
_Chile_,7
_hotel_,7
_backhand_index_pointing_right_medium_skin_tone_,7
_keycap_4_,6
_mango_,6
_bowl_with_spoon_,6
_gorilla_,6
_martial_arts_uniform_,6
_backhand_index_pointing_up_medium-light_skin_tone_,6
_oncoming_taxi_,6
_mountain_,6
_person_lifting_weights_,6
_boxing_glove_,6
_person_rowing_boat_,6
_frog_,6
_paintbrush_,6
_stopwatch_,6
_United_States_,6
_woman_getting_massage_,6
_fairy_light_skin_tone_,6
_man_tipping_hand_light_skin_tone_,6
_girl_medium-light_skin_tone_,6
_bookmark_tabs_,6
_plus_,6
_passenger_ship_,6
_fried_shrimp_,6
_hedgehog_,6
_keycap_0_,6
_fast_down_button_,6
_moai_,6
_hospital_,6
_person_gesturing_OK_light_skin_tone_,6
_handshake_medium_skin_tone_,6
_ferry_,6
_person_in_bed_,6
_jeans_,6
