idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
person_frowning_medium-dark_skin_tone,,,,,,,person_frowning_medium-dark_skin_tone,4,🙍🏾,person frowning: medium-dark skin tone,People & Body,person-gesture
couple_with_heart_woman_man,0.0,1.0,0.0,0.0,0.0,0.0,couple_with_heart_woman_man,14,👩‍❤️‍👨,"couple with heart: woman, man",People & Body,family
family_woman_woman_boy_boy,0.0,1.0,0.0,0.0,0.0,0.0,family_woman_woman_boy_boy,4,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",People & Body,family
man_getting_massage,,,,,,,man_getting_massage,11,💆‍♂️,man getting massage,People & Body,person-activity
weary_face,0.08296943231441048,0.37957675512260663,0.16963385959019148,0.23480013436345315,0.03963721867651999,0.09338259993281828,weary_face,29627,😩,weary face,Smileys & Emotion,face-concerned
man_health_worker_medium_skin_tone,0.0,0.0,0.0,0.0,1.0,0.0,man_health_worker_medium_skin_tone,3,👨🏽‍⚕️,man health worker: medium skin tone,People & Body,person-role
oncoming_taxi,0.0,1.0,0.0,0.0,0.0,0.0,oncoming_taxi,22,🚖,oncoming taxi,Travel & Places,transport-ground
hibiscus,0.0,0.7961165048543689,0.038834951456310676,0.02912621359223301,0.009708737864077669,0.1262135922330097,hibiscus,402,🌺,hibiscus,Animals & Nature,plant-flower
woman_pilot,,,,,,,woman_pilot,4,👩‍✈️,woman pilot,People & Body,person-role
multiply,0.08333333333333333,0.75,0.16666666666666666,0.0,0.0,0.0,multiply,67,✖️,multiply,Symbols,math
woman_teacher_medium_skin_tone,0.0,0.0,0.0,0.0,0.0,1.0,woman_teacher_medium_skin_tone,6,👩🏽‍🏫,woman teacher: medium skin tone,People & Body,person-role
Santa_Claus,,,,,,,Santa_Claus,1845,🎅,Santa Claus,People & Body,person-fantasy
factory,0.18932038834951456,0.1820388349514563,0.18932038834951456,0.2087378640776699,0.05339805825242718,0.17718446601941748,factory,13,🏭,factory,Travel & Places,place-building
baby_bottle,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,baby_bottle,57,🍼,baby bottle,Food & Drink,drink
woman_facepalming_dark_skin_tone,0.16666666666666666,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,woman_facepalming_dark_skin_tone,53,🤦🏿‍♀️,woman facepalming: dark skin tone,People & Body,person-gesture
rocket,0.0851063829787234,0.4340425531914894,0.07659574468085106,0.2,0.10638297872340426,0.09787234042553192,rocket,1805,🚀,rocket,Travel & Places,transport-air
open_book,0.0,0.5813953488372093,0.0,0.046511627906976744,0.32558139534883723,0.046511627906976744,open_book,171,📖,open book,Objects,book-paper
hundred_points,0.03918613413715147,0.5380557648831952,0.048982667671439335,0.13262999246420498,0.0828937452901281,0.15825169555388094,hundred_points,9627,💯,hundred points,Smileys & Emotion,emotion
Austria,,,,,,,Austria,19,🇦🇹,flag: Austria,Flags,country-flag
