idx,anger,happy,sad,fear,surprise,disgust
person_tipping_hand,0.08823529411764706,0.7058823529411765,0.029411764705882353,0.14705882352941177,0.0,0.029411764705882353
station,0.047619047619047616,0.29931972789115646,0.24489795918367346,0.16326530612244897,0.12471655328798185,0.12018140589569161
angry_face_with_horns,0.125,0.1956521739130435,0.09782608695652174,0.44021739130434784,0.02717391304347826,0.11413043478260869
person_facepalming_medium-dark_skin_tone,,,,,,
woman_office_worker,0.0,1.0,0.0,0.0,0.0,0.0
women_with_bunny_ears,,,,,,
tulip,0.013513513513513514,0.8783783783783784,0.05405405405405406,0.04054054054054054,0.013513513513513514,0.0
man_bowing_dark_skin_tone,,,,,,
woman_bowing,0.0,1.0,0.0,0.0,0.0,0.0
round_pushpin,0.0,0.3333333333333333,0.041666666666666664,0.5416666666666666,0.08333333333333333,0.0
smiling_face_with_heart-eyes,,,,,,
middle_finger_medium_skin_tone,0.1657142857142857,0.10285714285714286,0.08571428571428572,0.24,0.02857142857142857,0.37714285714285717
t-shirt,,,,,,
seedling,0.035398230088495575,0.5575221238938053,0.09734513274336283,0.168141592920354,0.08849557522123894,0.05309734513274336
person_with_veil_medium_skin_tone,,,,,,
pouting_cat,,,,,,
person_frowning,0.0,0.0,0.0,0.5,0.5,0.0
person_running_medium-light_skin_tone,,,,,,
thumbs_down_dark_skin_tone,0.13043478260869565,0.1956521739130435,0.0,0.43478260869565216,0.17391304347826086,0.06521739130434782
woman_dark_skin_tone_curly_hair,,,,,,
mx_claus_light_skin_tone,,,,,,
test_tube,0.0,1.0,0.0,0.0,0.0,0.0
magnifying_glass_tilted_left,0.04281345565749235,0.6972477064220184,0.10091743119266056,0.10703363914373089,0.05198776758409786,0.0
person_cartwheeling_medium_skin_tone,,,,,,
raising_hands_medium_skin_tone,0.012048192771084338,0.6465863453815262,0.008032128514056224,0.17670682730923695,0.07630522088353414,0.08032128514056225
teddy_bear,0.0,0.8,0.0,0.2,0.0,0.0
person_blond_hair,,,,,,
Nicaragua,,,,,,
toothbrush,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
prince_dark_skin_tone,0.0,0.5,0.0,0.5,0.0,0.0
Morocco,,,,,,
oncoming_bus,1.0,0.0,0.0,0.0,0.0,0.0
person_walking_medium-dark_skin_tone,,,,,,
man_raising_hand_medium_skin_tone,,,,,,
Malta,,,,,,
cow,0.11337868480725624,0.1655328798185941,0.14512471655328799,0.26077097505668934,0.047619047619047616,0.2675736961451247
woman_guard_medium_skin_tone,,,,,,
ice_hockey,0.0,0.7692307692307693,0.0,0.0,0.23076923076923078,0.0
man_cartwheeling,,,,,,
chopsticks,0.1,0.7,0.1,0.1,0.0,0.0
stopwatch,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
Norway,,,,,,
mosque,0.0,0.25,0.125,0.5,0.125,0.0
person_in_suit_levitating_medium_skin_tone,,,,,,
taco,0.07801418439716312,0.3546099290780142,0.1016548463356974,0.19858156028368795,0.06855791962174941,0.19858156028368795
person_cartwheeling_medium-dark_skin_tone,,,,,,
selfie_medium-light_skin_tone,,,,,,
hedgehog,0.06666666666666667,0.6333333333333333,0.06666666666666667,0.1,0.0,0.13333333333333333
cheese_wedge,0.022727272727272728,0.6818181818181818,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.06818181818181818
woman_scientist_light_skin_tone,0.0,0.0,0.0,0.0,0.0,1.0
person_facepalming_light_skin_tone,0.0,0.2,0.1,0.1,0.4,0.2
woman_golfing_medium-dark_skin_tone,,,,,,
tanabata_tree,0.0,1.0,0.0,0.0,0.0,0.0
broken_heart,0.14392523364485982,0.3107476635514019,0.28785046728971964,0.13130841121495326,0.03271028037383177,0.09345794392523364
woman_surfing_medium-light_skin_tone,,,,,,
fairy_medium-dark_skin_tone,,,,,,
vampire_light_skin_tone,0.0,0.75,0.0,0.25,0.0,0.0
worried_face,0.11646586345381527,0.44377510040160645,0.21084337349397592,0.0783132530120482,0.11646586345381527,0.03413654618473896
toilet,0.0625,0.1766304347826087,0.15489130434782608,0.11956521739130435,0.06793478260869565,0.41847826086956524
Belgium,,,,,,
