idx,anger,happy,sad,fear,surprise,disgust
chopsticks,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.2857142857142857
stopwatch,0.0,0.875,0.125,0.0,0.0,0.0
Norway,0.0,1.0,0.0,0.0,0.0,0.0
mosque,0.0,0.0,0.0,0.0,0.0,1.0
taco,0.07692307692307693,0.46153846153846156,0.0,0.23076923076923078,0.19230769230769232,0.038461538461538464
selfie_medium-light_skin_tone,,,,,,
hedgehog,0.4,0.2,0.0,0.0,0.0,0.4
cheese_wedge,0.08333333333333333,0.3611111111111111,0.027777777777777776,0.1111111111111111,0.25,0.16666666666666666
woman_scientist_light_skin_tone,0.5,0.0,0.0,0.0,0.5,0.0
person_facepalming_light_skin_tone,0.32432432432432434,0.21621621621621623,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.13513513513513514
tanabata_tree,0.125,0.5,0.125,0.125,0.0,0.125
broken_heart,0.17973856209150327,0.3415032679738562,0.18137254901960784,0.15196078431372548,0.09640522875816994,0.049019607843137254
woman_surfing_medium-light_skin_tone,,,,,,
worried_face,0.16752577319587628,0.32216494845360827,0.17525773195876287,0.16494845360824742,0.13659793814432988,0.03350515463917526
Belgium,0.13333333333333333,0.7333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667
toilet,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
man_police_officer_light_skin_tone,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0
martial_arts_uniform,0.0625,0.125,0.375,0.375,0.0,0.0625
Denmark,0.0,1.0,0.0,0.0,0.0,0.0
waning_gibbous_moon,,,,,,
Croatia,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0
input_latin_lowercase,0.0,0.0,0.0,0.0,0.0,1.0
no_one_under_eighteen,0.10344827586206896,0.2413793103448276,0.27586206896551724,0.1724137931034483,0.06896551724137931,0.13793103448275862
cat_with_tears_of_joy,0.21212121212121213,0.3333333333333333,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.09090909090909091
see-no-evil_monkey,,,,,,
person_running,0.14893617021276595,0.4397163120567376,0.06382978723404255,0.0851063829787234,0.12056737588652482,0.14184397163120568
mountain,0.22448979591836735,0.42857142857142855,0.04081632653061224,0.16326530612244897,0.061224489795918366,0.08163265306122448
backhand_index_pointing_right_medium_skin_tone,0.29411764705882354,0.29411764705882354,0.11764705882352941,0.2647058823529412,0.029411764705882353,0.0
woman_getting_massage_light_skin_tone,0.2413793103448276,0.1724137931034483,0.20689655172413793,0.13793103448275862,0.13793103448275862,0.10344827586206896
stadium,0.11093117408906883,0.7724696356275303,0.0016194331983805667,0.0024291497975708503,0.0032388663967611335,0.10931174089068826
man_dancing_dark_skin_tone,1.0,0.0,0.0,0.0,0.0,0.0
fleur-de-lis,,,,,,
racing_car,0.11428571428571428,0.6285714285714286,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.05714285714285714
man_light_skin_tone_bald,,,,,,
eagle,0.176007866273353,0.45722713864306785,0.0943952802359882,0.11209439528023599,0.09341199606686332,0.06686332350049164
backhand_index_pointing_left_medium_skin_tone,0.28205128205128205,0.3076923076923077,0.1282051282051282,0.2564102564102564,0.02564102564102564,0.0
Japanese_prohibited_button,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
baby_angel,0.2,0.3,0.15,0.225,0.075,0.05
woman_detective_medium-light_skin_tone,,,,,,
spiral_notepad,0.0,0.0,0.0,0.0,0.0,1.0
palms_up_together_medium_skin_tone,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0
person_medium-light_skin_tone,,,,,,
woman_facepalming_medium-dark_skin_tone,,,,,,
shushing_face,0.17123287671232876,0.2979452054794521,0.11986301369863013,0.21232876712328766,0.13356164383561644,0.06506849315068493
brain,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.12698412698412698,0.12698412698412698,0.031746031746031744
paintbrush,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111
snowboarder,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285
Turkey,0.15828924162257496,0.4894179894179894,0.08289241622574955,0.10361552028218694,0.08950617283950617,0.07627865961199294
woman_getting_massage,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111
globe_showing_Europe-Africa,,,,,,
person_cartwheeling,0.28205128205128205,0.46153846153846156,0.15384615384615385,0.05128205128205128,0.02564102564102564,0.02564102564102564
Japanese_acceptable_button,0.0,0.0,0.0,0.0,0.0,1.0
